offset,title,type,office,office_level,publish_date,effective_date,status
116,全国人民代表大会常务委员会关于中国人民解放军现役士兵衔级制度的决定,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-02-28,2022-03-31,有效
117,中华人民共和国噪声污染防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-12-24,2022-06-05,有效
118,中华人民共和国继承法,法律,全国人民代表大会,全国人民代表大会,1985-04-10,1985-10-01,已废止
119,中华人民共和国青藏高原生态保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2023-04-26,2023-09-01,有效
120,中华人民共和国科学技术进步法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-12-24,2022-01-01,有效
121,中华人民共和国兵役法,法律,全国人民代表大会,全国人民代表大会,2021-08-20,2021-10-01,有效
122,中华人民共和国预备役人员法,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-12-30,2023-03-01,有效
123,中华人民共和国医师法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-08-20,2022-03-01,有效
124,中华人民共和国人口与计划生育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-08-20,2021-08-20,有效
125,中华人民共和国军事设施保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-06-10,2021-08-01,有效
126,中华人民共和国军人地位和权益保障法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-06-10,2021-08-01,有效
127,中华人民共和国生物安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-10-17,2021-04-15,有效
128,中华人民共和国食品安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-04-29,2021-04-29,有效
129,中华人民共和国档案法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-06-20,2021-01-01,有效
130,中华人民共和国反食品浪费法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-04-29,2021-04-29,有效
131,中华人民共和国人民武装警察法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-06-20,2020-06-21,有效
132,中华人民共和国海上交通安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-04-29,2021-09-01,有效
133,中华人民共和国海关法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-04-29,2021-04-29,有效
134,中华人民共和国固体废物污染环境防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-04-29,2020-09-01,有效
135,中华人民共和国教育法,法律,全国人民代表大会,全国人民代表大会,2021-04-29,2021-04-30,有效
136,中华人民共和国基本医疗卫生与健康促进法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-12-28,2020-06-01,有效
137,中华人民共和国消防法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-04-29,2021-04-29,有效
138,中华人民共和国社区矫正法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-12-28,2020-07-01,有效
139,中华人民共和国行政处罚法,法律,全国人民代表大会,全国人民代表大会,2021-01-22,2021-07-15,有效
140,中华人民共和国道路交通安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-04-29,2021-04-29,有效
141,中华人民共和国密码法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-10-26,2020-01-01,有效
142,中华人民共和国药品管理法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-08-26,2019-12-01,有效
143,中华人民共和国海警法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-01-22,2021-02-01,有效
144,中华人民共和国土地管理法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-08-26,2020-01-01,有效
145,中华人民共和国城市房地产管理法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-08-26,2020-01-01,有效
146,中华人民共和国行政许可法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-04-23,2019-04-23,有效
147,中华人民共和国疫苗管理法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-06-29,2019-12-01,有效
148,中华人民共和国城乡规划法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-04-23,2019-04-23,有效
149,中华人民共和国公务员法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-12-29,2019-06-01,有效
150,中华人民共和国消防法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-04-23,2019-04-23,已修改
151,中华人民共和国大气污染防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-10-26,2018-10-26,有效
152,中华人民共和国公共图书馆法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-10-26,2018-10-26,有效
153,中华人民共和国环境噪声污染防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-12-29,2018-12-29,已废止
154,中华人民共和国防沙治沙法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-10-26,2018-10-26,有效
155,中华人民共和国义务教育法,法律,全国人民代表大会,全国人民代表大会,2018-12-29,2018-12-29,有效
156,中华人民共和国消防救援衔条例,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-10-26,2018-10-27,有效
157,中华人民共和国环境影响评价法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-12-29,2018-12-29,有效
158,中华人民共和国野生动物保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-10-26,2018-10-26,已修改
159,中华人民共和国食品安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-12-29,2018-12-29,已修改
160,中华人民共和国民办教育促进法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-12-29,2018-12-29,有效
161,中华人民共和国国防教育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-04-27,2018-04-27,有效
162,中华人民共和国高等教育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-12-29,2018-12-29,有效
163,中华人民共和国精神卫生法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-04-27,2018-04-27,有效
164,中华人民共和国国家情报法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-04-27,2018-04-27,有效
165,中华人民共和国反恐怖主义法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-04-27,2018-04-27,有效
166,中华人民共和国公共图书馆法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-11-04,2018-01-01,已修改
167,中华人民共和国国境卫生检疫法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-04-27,2018-04-27,有效
168,中华人民共和国文物保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-11-04,2017-11-05,有效
169,中华人民共和国行政处罚法,法律,全国人民代表大会,全国人民代表大会,2017-09-01,2018-01-01,已修改
170,中华人民共和国海关法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-11-04,2017-11-05,已修改
171,中华人民共和国海洋环境保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-11-04,2017-11-05,有效
172,中华人民共和国行政复议法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-09-01,2018-01-01,有效
173,中华人民共和国公务员法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-09-01,2018-01-01,已修改
174,中华人民共和国核安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-09-01,2018-01-01,有效
175,中华人民共和国测绘法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-04-27,2017-07-01,有效
176,中华人民共和国水污染防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-06-27,2018-01-01,有效
177,中华人民共和国律师法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-09-01,2018-01-01,有效
178,中华人民共和国公共文化服务保障法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-12-25,2017-03-01,有效
179,中华人民共和国公证法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-09-01,2018-01-01,有效
180,中华人民共和国中医药法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-12-25,2017-07-01,有效
181,中华人民共和国民办教育促进法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-11-07,2017-09-01,已修改
182,中华人民共和国电影产业促进法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-11-07,2017-03-01,有效
183,中华人民共和国固体废物污染环境防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-11-07,2016-11-07,已修改
184,中华人民共和国海上交通安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-11-07,2016-11-07,已修改
185,中华人民共和国体育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-11-07,2016-11-07,已修改
186,中华人民共和国档案法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-11-07,2016-11-07,已修改
187,中华人民共和国气象法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-11-07,2016-11-07,有效
188,中华人民共和国国防交通法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-09-03,2017-01-01,有效
189,中华人民共和国野生动物保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-07-02,2017-01-01,已修改
190,中华人民共和国高等教育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-12-27,2016-06-01,已修改
191,中华人民共和国教育法,法律,全国人民代表大会,全国人民代表大会,2015-12-27,2016-06-01,已修改
192,中华人民共和国环境影响评价法,法律,全国人民代表大会常务委员会,全国人民代表大会,2016-07-02,2016-09-01,已修改
193,中华人民共和国人口与计划生育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-12-27,2016-01-01,已修改
194,中华人民共和国大气污染防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-08-29,2016-01-01,已修改
195,中华人民共和国检察官法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-04-23,2019-10-01,有效
196,中华人民共和国香港特别行政区维护国家安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-06-30,2020-06-30,有效
197,中华人民共和国地方各级人民代表大会和地方各级人民政府组织法,法律,全国人民代表大会,全国人民代表大会,2015-08-29,2015-08-29,已修改
198,中华人民共和国土壤污染防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-08-31,2019-01-01,有效
199,中华人民共和国枪支管理法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-04-24,2015-04-24,有效
200,中华人民共和国促进科技成果转化法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-08-29,2015-10-01,有效
201,中华人民共和国义务教育法,法律,全国人民代表大会,全国人民代表大会,2015-04-24,2015-04-24,已修改
202,中华人民共和国城乡规划法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-04-24,2015-04-24,已修改
203,中华人民共和国食品安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-04-24,2015-10-01,已修改
204,中华人民共和国环境保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2014-04-24,2015-01-01,有效
205,中华人民共和国治安管理处罚法,法律,全国人民代表大会常务委员会,全国人民代表大会,2012-10-26,2013-01-01,有效
206,中华人民共和国传染病防治法,法律,全国人民代表大会常务委员会,全国人民代表大会,2013-06-29,2013-06-29,有效
207,中华人民共和国军事设施保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2014-06-27,2014-08-01,已修改
208,中华人民共和国监狱法,法律,全国人民代表大会常务委员会,全国人民代表大会,2012-10-26,2013-01-01,有效
209,中华人民共和国居民身份证法,法律,全国人民代表大会常务委员会,全国人民代表大会,2011-10-29,2012-01-01,有效
210,中华人民共和国出境入境管理法,法律,全国人民代表大会常务委员会,全国人民代表大会,2012-06-30,2013-07-01,有效
211,中华人民共和国兵役法,法律,全国人民代表大会,全国人民代表大会,2011-10-29,2011-10-29,已修改
212,中华人民共和国行政强制法,法律,全国人民代表大会常务委员会,全国人民代表大会,2011-06-30,2012-01-01,有效
213,中华人民共和国消防法,法律,全国人民代表大会常务委员会,全国人民代表大会,2008-10-28,2009-05-01,已修改
214,中华人民共和国国防动员法,法律,全国人民代表大会常务委员会,全国人民代表大会,2010-02-26,2010-07-01,有效
215,中华人民共和国道路交通安全法,法律,全国人民代表大会常务委员会,全国人民代表大会,2011-04-22,2011-05-01,已修改
216,中华人民共和国海岛保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2009-12-26,2010-03-01,有效
217,中华人民共和国禁毒法,法律,全国人民代表大会常务委员会,全国人民代表大会,2007-12-29,2008-06-01,有效
218,中华人民共和国科学技术普及法,法律,全国人民代表大会常务委员会,全国人民代表大会,2002-06-29,2002-06-29,有效
219,中华人民共和国科学技术进步法,法律,全国人民代表大会常务委员会,全国人民代表大会,2007-12-29,2008-07-01,已修改
220,中华人民共和国非物质文化遗产法,法律,全国人民代表大会常务委员会,全国人民代表大会,2011-02-25,2011-06-01,有效
221,中华人民共和国对外贸易法,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-12-30,2022-12-30,有效
222,中华人民共和国户口登记条例,法律,全国人民代表大会常务委员会,全国人民代表大会,1958-01-09,1958-01-09,有效
223,中华人民共和国驻外外交人员法,法律,全国人民代表大会常务委员会,全国人民代表大会,2009-10-31,2010-01-01,有效
224,中华人民共和国预备役军官法,法律,全国人民代表大会常务委员会,全国人民代表大会,2010-08-28,2010-08-28,已废止
225,中华人民共和国保守国家秘密法,法律,全国人民代表大会常务委员会,全国人民代表大会,2010-04-29,2010-10-01,有效
226,中华人民共和国突发事件应对法,法律,全国人民代表大会常务委员会,全国人民代表大会,2007-08-30,2007-11-01,有效
