law_id,type,title,kana,effective_date
202M10000008017,府省令,運河法施行規則,うんがほうしこうきそく,平成十七年三月七日
203AC1000000037,法律,大正三年法律第三十七号（公共団体ノ管理スル公共用土地物件ノ使用ニ関スル法律）,こうきょうだんたいのかんりするこうきょうようとちぶっけんのしようにかんするほうりつ,昭和二十三年六月十四日
203M10001000011,府省令,発電水力調査図表類交付規則,はつでんすいりょくちょうさずひょうるいこうふきそく,令和二年十二月二十八日
204AC0000000013,法律,大正四年法律第十三号（日本学士院学術研究奨励金委任経理ニ関スル法律）,にほんがくしいんがくじゅつけんきゅうしょうれいきんいにんけいりにかんするほうりつ,大正四年六月二十一日
204AC0000000018,法律,大正四年法律第十八号（法人ノ役員処罰ニ関スル法律）,ほうじんのやくいんしょばつにかんするほうりつ,令和七年六月一日
204IO0000000154,勅令,大正四年勅令第百五十四号（大礼記念章制定ノ件）,たいれいきねんしょうせいていのけん,大正四年八月十三日
205AC0000000010,法律,大正五年法律第十号（証券ヲ以テスル歳入納付ニ関スル法律）,しょうけんをもってするさいにゅうのうふにかんするほうりつ,平成十五年四月一日
205AC0000000020,法律,海底電信線保護万国連合条約罰則,かいていでんしんせんほごばんこくれんごうじょうやくばっそく,令和七年六月一日
205IO0000000256,勅令,大正五年勅令第二百五十六号（歳入納付ニ使用スル証券ニ関スル件）,さいにゅうのうふにしようするしょうけんにかんするけん,平成十九年十月一日
205M10000010035,府省令,大正五年司法省令第三十五号（司法省主管歳入証券納付ニ関スル件）,しほうしょうしゅかんさいにゅうしょうけんのうふにかんするけん,大正十一年六月二日
205M10000040030,府省令,大正五年大蔵省令第三十号（歳入納付ニ使用スル証券ニ関スル件ニ依ル証券ノ納付ニ関スル制限ノ件）,さいにゅうのうふにしようするしょうけんにかんするけんによるしょうけんののうふにかんするせいげんのけん,令和四年十一月四日
205M10000040031,府省令,大正五年大蔵省令第三十一号（財務省主管歳入証券納付ニ関スル件）,ざいむしょうしゅかんさいにゅうしょうけんのうふにかんするけん,平成十九年十月一日
205M10000040032,府省令,大正五年大蔵省令第三十二号（証券ヲ以テスル歳入納付ニ関スル法律施行細則）,しょうけんをもってするさいにゅうのうふにかんするほうりつしこうさいそく,令和三年一月一日
